Source_id,Title,Time,Categories,Author,Content,Other_picture
1D6n5PM,巴菲特加碼投資日本？傳擬再發日圓債、商社股衝,2024-10-01 02:59:17+00:00,理財,MoneyDJ理財網,https://today-obs.line-scdn.net/0hueSdp2dsKkpuHTrWEyFVHVZLJjtdezBDTH02KxgUdXIXMT0fBXx5KUxPJ2ZLK29OTnthKE4YfX9GJD0dBw/w644MoneyDJ新聞 2024-10-01 10:43:37 記者 蔡承啟 報導美國投資大師巴菲特(Warren Buffett)將加碼投資日本？巴菲特掌管的波克夏海瑟威(Berkshire Hathaway)傳出計劃今年來第2度發行日圓債，已獲巴菲特投資的日本5大商社(三菱商事、三井物產、住友商事、丸紅、伊藤忠商事)股價聞訊大漲。彭博社1日報導，巴菲特掌管的波克夏海瑟威計劃今年來第2度發行日圓債，而此舉增添市場對波克夏可能加碼對日本投資的預期。波克夏自2019年以來、會定期發行日圓債，最近一次是在今年4月發行、此次將是今年來第2度發行日圓債。報導指出，巴菲特購買日本5大商社股票、為日經225指數今年創下歷史新高紀錄帶來貢獻，因此波克夏的資金調度計劃備受股票投資人關注。截至日本股市1日早盤收盤(台北時間上午10點30分)為止，三菱商事大漲2.29%、三井物產大漲3.71%、伊藤忠商事大漲3.32%、住友商事大漲3.79%、丸紅大漲2.50%。巴菲特2月24日在致股東信中表示，波克夏海瑟威已將日本5大商社的持股比重提高至約9%。波克夏在2020年8月買進上述五家日本商社股票時就曾表示，打算長期持有這些日本投資，未來對這五家日本企業的持股比重可能會拉高至9.9%。(圖片來源：巴菲特),[]
3NmyDJE,民生用電凍漲別開心 業者怨工業電價大漲：「明年不是漲價潮就是停業潮」,2024-10-01 03:59:28+00:00,理財,CTWANT林榮芳,https://today-obs.line-scdn.net/0hLwha-XLWE1hVGAPEKc1sD21OHylmfglRdywLPiQbGGwqNFZZOXdAO3AeSnRwK1ZZdXlaNyVNGG8sKwFdOw/w644經濟部日前召開電價審議委員會，雖民生電價維持凍漲，但民眾也別開心得太早，因為工業電價平均調幅12.5%，最多漲15%，仍難避免成本轉嫁給消費者。然而現在產業間也傳出不少電價漲幅標準「不公」的埋怨，商總榮譽理事長賴正鎰就指出，市場疲軟的國旅，成本根本不堪負荷，許多小型旅宿業者明年恐將掀起一波「停業潮」！工業及用電大戶電價雙位數成長，令業界大呼吃不消，賴正鎰預期，中大型觀光旅館即便守住經營，也會將成本轉嫁，明年1月1日起國內觀光飯店房價恐再漲5%以上。電價調漲，對每年業績平均僅1%、2%成長的百貨業同樣是晴天霹靂。新光三越和遠東SOGO對此回應，將落實各項節能減碳措施，透過節能效益，降低電價調漲後的衝擊。不過，亞太商工總會執行長邱達生就不諱言說，百貨業者透過調漲房租、提高抽成手法後，餐飲、服飾、化妝品櫃位等，就可調漲售價轉嫁給消費者。賴正鎰提醒，燃氣成本遠高於核電，政府「非核家園」的政策不變，核電明年全部退役，電價一年起碼漲2次，不出3年，企業會受不了成本過高而出走，再掀一波產業外移。此波電價調漲，自行車、汽車零組件等產業，因用電或產值衰退，調漲幅度為零或減半，產業間就傳出「不公平」的聲浪。工總率先喊不公平，工商協進會也說，針對用電大戶訂定較高電價調幅，不盡公允，建議給予達到一定能效標準的企業電價折扣，以激勵企業投入節能減碳。有業者就認為，以用電或產值衰退作為標準，嚴重失真，自行車在疫情期間接單爆增，近2年在消化庫存，這並不代表自行車產業「有多差」，而是剛好因去化庫存導致產值衰退。而自行車業者則是態度低調，僅回應感謝政府體諒產業困境，但也提醒重新檢討能源配比，才是長久之計，否則電價調漲不會只這一次，每年都得漲。汽車零組件方面，業界也質疑，汽車零組件廠何其多，做OME（代工）跟AM（售後）所遇到的情況也截然不同，不理解是以何標準拍板電價漲幅減半，況且今年新台幣大貶，零組件業者因收美元，享有龐大匯兌收益，多數公司整體獲利不差，恐也不屬艱困產業。,[]
j7L53M2,台股 ETF 受益人終止創高 這檔連四周創高奪人氣王,2024-10-01 01:59:29+00:00,理財,經濟日報,"https://today-obs.line-scdn.net/0h9IzaO2uOZmZHGHb6Ha4ZMX9Oahd0fnxvZXcrVWJKagRqNHI3Ly01BWsZa0o5LnMxZy4uU2AcbQE-Kidkcg/w644台股ETF受益人千萬大關前近關情怯，終止30周創新高紀錄，根據台股ETF集保戶股權分散統計最新資料顯示，63檔台股ETF受益人最新一周不增反減，減少38,129人來到980萬4,366人。進一步觀察近一周受益人數單檔表現，僅11檔受益人數是呈成長的，其中超過萬人的僅群益台灣精選高息ETF（00919），受益人周增10,347人蟬聯台股ETF受益人4周人氣王。據了解，00919第六次配息在短短5個交易日就完成填息，由於配息金額0.72元創下新高，市場原本尚有疑慮是否能填息，如今在5天就填息，也讓投資人對其刮目相看，並期待後續表現。市場法人表示，00919持續穩定的階梯式向上配息政策深受存股族的喜愛，其追蹤臺灣精選高息指數，不只是關注大市值及流動性佳的龍頭標的，更將高息優勢再優化，讓存股族能完整參與台灣企業當年度已宣告高息，同時精選具備獲利能力的30檔個股，組合成極佳存股工具，特別適合存股族。群益台灣精選高息ETF(00919)基金經理人謝明志表示，雖然9月30日台股大盤大跌598.25點，不過，台股在基本面與資金面皆有利股市之下，預期外資匯入趨勢有望延續，股市也因此有望維持震盪向上的格局。近日股價下降，可以讓存股族以及逢低進場加碼買進的籌碼進場，用更低的成本，加速累積張數，因此若盤勢有回檔建議可採取逢低買進策略。享受更高質量的財經內容 點我加入經濟日報好友",[]
l2o5BnG,銅板股名單》便宜有好股！殖利率5%起跳、配息10年不停歇！3檔股價不到50元,2024-10-01 01:59:32+00:00,理財,Smart智富月刊,"https://today-obs.line-scdn.net/0hFzjerM9ZGVVXHAnJE-RmAm9KFSRkegNcdSkBMyYVQGFyMF9UbnhKNnMfEnlzK11Td3kCNnMbRGx7eA1Wbg/w644圖片來源：Adobe Firefly約莫從今（2024）年7月中下旬開始，台股陷入了回檔修正。攤開大盤走勢，在7月11日以2萬4,390.03點收盤時創下新高後，至今仍處在高檔震盪的行情之中。在這樣的情況下，本期又有哪些連續10年配息不停歇、流動性佳、殖利率高的便宜好股呢？本期同樣延續先前＜存股名單》殖利率5%以上，50元以下高殖利率績優股名單出爐！＞一文中，有提到篩選存股標的常見的「6大指標」，個指標內容分別為：條件1：現金殖利率＞5%。條件2：連續10年都有發放現金股利。條件3：近5個交易日成交量＞100張。條件4：近10年營業利益率平均＞10%。條件5：近10年股東權益報酬率平均＞10%。條件6：股價便宜（依股價分為50元以下及50元～100元這2組）。每項指標背後都帶有各自的指標意義和選股邏輯，只要其中1項不符合資格，即不納入銅板股名單之中，詳細的篩選方式和指標內容，可點這篇回去查看喔！以下為最新一期的銅板價存股名單，提供給大家做參考使用。符合上述條件且股價在50元以下的個股，本期共計有3檔入榜，個股名單資訊分別如下：符合上述條件且股價在50元～100元的個股，本期共計有2檔入榜，名單個股資訊分別如下：在本期2組銅板股中，現金殖利率有3檔表現最突出、數值都來到6%以上，依殖利率高低排序分別為7.10%的僑威（3078）、6.91%的上福 （6128）和6.56%的嘉里大榮 （2608）。另在台股近期震盪下，不少個股價格也略往下修，固現金殖利率也有跟著提升的情況。同時得留意的是，現金殖利率雖是不少投資人在選股時的重要參考指標，但現金殖利率並非愈高報酬愈好，現金殖利率會因股價走低或配息額異常增加而飆高，也就是「高殖利率陷阱」。最後，每期銅板股存股名單會在每月月底，依照先前同樣的「6大選股標準」（編按：選股指標說明詳見＜存股名單》殖利率5%以上，50元以下高殖利率績優股名單出爐！＞）進行月更新，下一期則會在2024年10月底左右進行名單更新，喜歡銅板股的朋友可千萬別錯過囉！本文僅供研究參考，並無推薦進出之意，投資前請先行審慎評估、自負盈虧。本文獲「商周財富網」授權轉載，原文：股價便宜、5%以上的高殖利率股哪裡找？配息10年不間斷！5檔高殖利率股出列","['data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7', 'data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7']"
1D6n5PM,巴菲特加碼投資日本？傳擬再發日圓債、商社股衝,2024-10-01 02:59:35+00:00,理財,MoneyDJ理財網,https://today-obs.line-scdn.net/0hueSdp2dsKkpuHTrWEyFVHVZLJjtdezBDTH02KxgUdXIXMT0fBXx5KUxPJ2ZLK29OTnthKE4YfX9GJD0dBw/w644MoneyDJ新聞 2024-10-01 10:43:37 記者 蔡承啟 報導美國投資大師巴菲特(Warren Buffett)將加碼投資日本？巴菲特掌管的波克夏海瑟威(Berkshire Hathaway)傳出計劃今年來第2度發行日圓債，已獲巴菲特投資的日本5大商社(三菱商事、三井物產、住友商事、丸紅、伊藤忠商事)股價聞訊大漲。彭博社1日報導，巴菲特掌管的波克夏海瑟威計劃今年來第2度發行日圓債，而此舉增添市場對波克夏可能加碼對日本投資的預期。波克夏自2019年以來、會定期發行日圓債，最近一次是在今年4月發行、此次將是今年來第2度發行日圓債。報導指出，巴菲特購買日本5大商社股票、為日經225指數今年創下歷史新高紀錄帶來貢獻，因此波克夏的資金調度計劃備受股票投資人關注。截至日本股市1日早盤收盤(台北時間上午10點30分)為止，三菱商事大漲2.29%、三井物產大漲3.71%、伊藤忠商事大漲3.32%、住友商事大漲3.79%、丸紅大漲2.50%。巴菲特2月24日在致股東信中表示，波克夏海瑟威已將日本5大商社的持股比重提高至約9%。波克夏在2020年8月買進上述五家日本商社股票時就曾表示，打算長期持有這些日本投資，未來對這五家日本企業的持股比重可能會拉高至9.9%。(圖片來源：巴菲特),[]
3NmyDJE,民生用電凍漲別開心 業者怨工業電價大漲：「明年不是漲價潮就是停業潮」,2024-10-01 03:59:37+00:00,理財,CTWANT林榮芳,https://today-obs.line-scdn.net/0hLwha-XLWE1hVGAPEKc1sD21OHylmfglRdywLPiQbGGwqNFZZOXdAO3AeSnRwK1ZZdXlaNyVNGG8sKwFdOw/w644經濟部日前召開電價審議委員會，雖民生電價維持凍漲，但民眾也別開心得太早，因為工業電價平均調幅12.5%，最多漲15%，仍難避免成本轉嫁給消費者。然而現在產業間也傳出不少電價漲幅標準「不公」的埋怨，商總榮譽理事長賴正鎰就指出，市場疲軟的國旅，成本根本不堪負荷，許多小型旅宿業者明年恐將掀起一波「停業潮」！工業及用電大戶電價雙位數成長，令業界大呼吃不消，賴正鎰預期，中大型觀光旅館即便守住經營，也會將成本轉嫁，明年1月1日起國內觀光飯店房價恐再漲5%以上。電價調漲，對每年業績平均僅1%、2%成長的百貨業同樣是晴天霹靂。新光三越和遠東SOGO對此回應，將落實各項節能減碳措施，透過節能效益，降低電價調漲後的衝擊。不過，亞太商工總會執行長邱達生就不諱言說，百貨業者透過調漲房租、提高抽成手法後，餐飲、服飾、化妝品櫃位等，就可調漲售價轉嫁給消費者。賴正鎰提醒，燃氣成本遠高於核電，政府「非核家園」的政策不變，核電明年全部退役，電價一年起碼漲2次，不出3年，企業會受不了成本過高而出走，再掀一波產業外移。此波電價調漲，自行車、汽車零組件等產業，因用電或產值衰退，調漲幅度為零或減半，產業間就傳出「不公平」的聲浪。工總率先喊不公平，工商協進會也說，針對用電大戶訂定較高電價調幅，不盡公允，建議給予達到一定能效標準的企業電價折扣，以激勵企業投入節能減碳。有業者就認為，以用電或產值衰退作為標準，嚴重失真，自行車在疫情期間接單爆增，近2年在消化庫存，這並不代表自行車產業「有多差」，而是剛好因去化庫存導致產值衰退。而自行車業者則是態度低調，僅回應感謝政府體諒產業困境，但也提醒重新檢討能源配比，才是長久之計，否則電價調漲不會只這一次，每年都得漲。汽車零組件方面，業界也質疑，汽車零組件廠何其多，做OME（代工）跟AM（售後）所遇到的情況也截然不同，不理解是以何標準拍板電價漲幅減半，況且今年新台幣大貶，零組件業者因收美元，享有龐大匯兌收益，多數公司整體獲利不差，恐也不屬艱困產業。,[]
j7L53M2,台股 ETF 受益人終止創高 這檔連四周創高奪人氣王,2024-10-01 01:59:40+00:00,理財,經濟日報,"https://today-obs.line-scdn.net/0h9IzaO2uOZmZHGHb6Ha4ZMX9Oahd0fnxvZXcrVWJKagRqNHI3Ly01BWsZa0o5LnMxZy4uU2AcbQE-Kidkcg/w644台股ETF受益人千萬大關前近關情怯，終止30周創新高紀錄，根據台股ETF集保戶股權分散統計最新資料顯示，63檔台股ETF受益人最新一周不增反減，減少38,129人來到980萬4,366人。進一步觀察近一周受益人數單檔表現，僅11檔受益人數是呈成長的，其中超過萬人的僅群益台灣精選高息ETF（00919），受益人周增10,347人蟬聯台股ETF受益人4周人氣王。據了解，00919第六次配息在短短5個交易日就完成填息，由於配息金額0.72元創下新高，市場原本尚有疑慮是否能填息，如今在5天就填息，也讓投資人對其刮目相看，並期待後續表現。市場法人表示，00919持續穩定的階梯式向上配息政策深受存股族的喜愛，其追蹤臺灣精選高息指數，不只是關注大市值及流動性佳的龍頭標的，更將高息優勢再優化，讓存股族能完整參與台灣企業當年度已宣告高息，同時精選具備獲利能力的30檔個股，組合成極佳存股工具，特別適合存股族。群益台灣精選高息ETF(00919)基金經理人謝明志表示，雖然9月30日台股大盤大跌598.25點，不過，台股在基本面與資金面皆有利股市之下，預期外資匯入趨勢有望延續，股市也因此有望維持震盪向上的格局。近日股價下降，可以讓存股族以及逢低進場加碼買進的籌碼進場，用更低的成本，加速累積張數，因此若盤勢有回檔建議可採取逢低買進策略。享受更高質量的財經內容 點我加入經濟日報好友",[]
l2o5BnG,銅板股名單》便宜有好股！殖利率5%起跳、配息10年不停歇！3檔股價不到50元,2024-10-01 01:59:42+00:00,理財,Smart智富月刊,"https://today-obs.line-scdn.net/0hFzjerM9ZGVVXHAnJE-RmAm9KFSRkegNcdSkBMyYVQGFyMF9UbnhKNnMfEnlzK11Td3kCNnMbRGx7eA1Wbg/w644圖片來源：Adobe Firefly約莫從今（2024）年7月中下旬開始，台股陷入了回檔修正。攤開大盤走勢，在7月11日以2萬4,390.03點收盤時創下新高後，至今仍處在高檔震盪的行情之中。在這樣的情況下，本期又有哪些連續10年配息不停歇、流動性佳、殖利率高的便宜好股呢？本期同樣延續先前＜存股名單》殖利率5%以上，50元以下高殖利率績優股名單出爐！＞一文中，有提到篩選存股標的常見的「6大指標」，個指標內容分別為：條件1：現金殖利率＞5%。條件2：連續10年都有發放現金股利。條件3：近5個交易日成交量＞100張。條件4：近10年營業利益率平均＞10%。條件5：近10年股東權益報酬率平均＞10%。條件6：股價便宜（依股價分為50元以下及50元～100元這2組）。每項指標背後都帶有各自的指標意義和選股邏輯，只要其中1項不符合資格，即不納入銅板股名單之中，詳細的篩選方式和指標內容，可點這篇回去查看喔！以下為最新一期的銅板價存股名單，提供給大家做參考使用。符合上述條件且股價在50元以下的個股，本期共計有3檔入榜，個股名單資訊分別如下：符合上述條件且股價在50元～100元的個股，本期共計有2檔入榜，名單個股資訊分別如下：在本期2組銅板股中，現金殖利率有3檔表現最突出、數值都來到6%以上，依殖利率高低排序分別為7.10%的僑威（3078）、6.91%的上福 （6128）和6.56%的嘉里大榮 （2608）。另在台股近期震盪下，不少個股價格也略往下修，固現金殖利率也有跟著提升的情況。同時得留意的是，現金殖利率雖是不少投資人在選股時的重要參考指標，但現金殖利率並非愈高報酬愈好，現金殖利率會因股價走低或配息額異常增加而飆高，也就是「高殖利率陷阱」。最後，每期銅板股存股名單會在每月月底，依照先前同樣的「6大選股標準」（編按：選股指標說明詳見＜存股名單》殖利率5%以上，50元以下高殖利率績優股名單出爐！＞）進行月更新，下一期則會在2024年10月底左右進行名單更新，喜歡銅板股的朋友可千萬別錯過囉！本文僅供研究參考，並無推薦進出之意，投資前請先行審慎評估、自負盈虧。本文獲「商周財富網」授權轉載，原文：股價便宜、5%以上的高殖利率股哪裡找？配息10年不間斷！5檔高殖利率股出列","['data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7', 'data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7']"
5yjegpM,有人花35元就中獎 7-8月發票17人中千萬元,2024-10-01 02:59:44+00:00,理財,NOWnews 今日新聞記者顏真真,https://today-obs.line-scdn.net/0hKVWdgHMOFHlqHQTlOL5rLlJLGAhZew5wSChYFxtNSEkUMVt_Vn1HGhscSFUUJQQuSi9dGh8dHR5ALwd6VA/w644[NOWnews今日新聞] 今（113）年7-8月期統一發票中獎號碼已9月25日開出，到底有多少中新台幣1000萬元特別獎呢？財政部將於今（1）日下午將公布中獎清冊。不過，根據初步統計，這期共有17人中了1000萬元特別獎，另有15人抱走200萬元特獎，並自10月6日開始領獎至明年1月6日截止，幸運中獎的人可別忘了領獎。今年7-8月期統一發票開出特別獎獎金1000萬元中獎號碼為「38039158」，特獎獎金200萬元中獎號碼為「08276859」，頭獎獎金20萬元3組中獎號碼分別為「32110911」、「84289408」、「13446901」。另外，雲端發票專屬獎100萬元獎項30組中獎字軌號碼分別為「CQ12232270」、「DB37167789」、「CE13570409」、「CE06914967」、「CM21575866」、「CV56753462」、「CC33426565」、「DG50459694」、「CG14430034」、「CD21682919」、「DH20557329」、「CK41670398」、「DH12308020」、「CC05944135」、「CH80199501」、「CS24079322」、「CW09375465」、「DC60948216」、「CP10839450」、「DE60774215」、「CP08351217」、「CC52275357」、「DL18292700」、「DJ11077406」、「CE91332177」、「CT36481565」、「CH83412325」、「CG39250409」、「DG35230551」、「CT95709916」；併同雲端發票專屬獎2000元獎16000組、800元獎10萬組及500元獎195萬組獎項中獎字軌號碼，都已公布在財政部稅務入口網（網址：https://www.etax.nat.gov.tw/etw-main/ETW183W1/）提供查詢。財政部也將於今日下午公布這期的中獎清冊。根據初步統計，這期1000萬元特別獎共有17張發票中獎，200萬元特獎也有15張發票中獎。就目前超商及超市自行公布的中獎清冊，包括統一超商7-11、全家便利商店、OK超商、全聯福利中心這期共開出7張千萬特別獎，其中最幸運的2位消費者，分別在統一超商、全家購買35元的麵包與餅乾，就中了千萬大獎。統一超商這期開出4張千萬特別獎、2張200萬特獎、4張百萬雲端發票專屬獎，千萬大獎部分，1人在宜蘭縣五結鄉的五結門市，花110元購買生活用品；1人在新北市新莊區的副都心門市，花105元購買統一乳品、飲品；1人在苗栗縣竹南鎮的延平門市，花100元購買生活用品；1人在桃園市龜山區的鑫騰龍門市，花35元購買統一麵包。200萬特獎部分，有1人在台北市信義區的嘉馥門市，購買49元的生鮮食品；1人在台北市文山區的鼎盛門市，購買145元的生活用品。全家便利商店這期開出1張千萬特別獎，獎落台中金南屯店，消費者花費35元購買OREO餅乾，就成為千萬得主，另還開出1張特獎，消費者是在全家APP「隨買跨店取」上購買香草卡士達泡芙甜點，僅花57元就將200萬大獎抱回家。全聯這期開出1張特別獎及1張特獎，特別獎開在嘉義朴子嘉朴門市，幸運中獎者花費339元購買啤酒、蛋糕、豆漿、零食等商品，便喜從天降；特獎200萬開出門市為台中清水五權，消費者花費353元購買蛋捲、沙琪瑪等零食中獎。另外，這期OKmart開出特別獎1000萬元發票1張，中獎城市落在桃園縣的桃園民族門市，消費者當日花費461元即中獎。財政部賦稅署也提醒，7-8月中獎發票兌領獎期間為今年10月6日至明年1月6日，中獎者應於領獎期限以前領獎，其中使用手機條碼儲存雲端發票或已辦理歸戶者，財政部電子發票整合服務平台會主動通知中獎訊息；使用會員卡儲存雲端發票者，會員卡店家也會主動通知中獎訊息；至於使用悠遊卡、icash卡或一卡通載具者，可選擇自行至便利商店多媒體服務機或財政部電子發票整合服務平台查詢是否中獎。立即加入NOWnews今⽇新聞官⽅帳號！跟上最HOT時事,"['data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7']"
PGP7m7l,教學｜存貨、存銷比第二層思考，掌握庫存指標的智慧,2024-10-01 01:59:47+00:00,理財,優分析優分析案例研究,https://today-obs.line-scdn.net/0hZaUAEy5LBU5oOBXS-YF6GVBuCT9bXh9HSg4YIB08D3YWFBcfXFxWLUs_D2JMXUQcSAkZf08wD3YWWkBMAA/w644在投資中，庫存往往是被忽視的一環，但其實能藉此對經營狀況有所洞察。品項變化與庫存水位的波動，並不是單純的數字升降，需要從更深的層面來思考。今天，我們來聊聊存貨的「第二層思考」。當公司庫存堆積如山時，大家都希望能加速庫存去化，那我們該如何判斷去化的速度呢？其實可以透過『存貨金額』及『存銷比』來觀察，我們以自行車產業為例，有以下三種情況：一、存貨金額下降得很慢，但短期內存銷比快速下滑自行車產業在2022年疫情期間，因為大家轉向以自行車代步或運動，需求大幅增長。但隨後由於供應鏈問題和重複下單，導致2023年供需嚴重失衡，進入了一年多的庫存去化期。以美利達(9914-TW)為例，2024年3月起存銷比快速向下，存貨金額下降較慢，代表客戶重啟拉貨。但為什麼存貨金額下降慢，是因為公司看見需求轉強，因此有補充存貨，存貨金額才下降的慢。(圖片來源：優分析產業數據庫)二、存貨金額快速下降，存銷比也快速下滑明係(6804-TWO)在2024年上半年庫存加速去化，存貨金額和存銷比都已經快速下降，代表需求雖然沒有轉強，但還不差，所以存貨順利去化。然後我們開始第二層思考，為什麼存貨沒有增加？原因是公司對未來一兩季的訂單掌握度不高，謹慎補貨。然而，實際情況並不如預期那麼悲觀，這可能是復甦的早期跡象。(圖片來源：優分析產業數據庫)三、存貨金額下降緩慢，存銷比也下降緩慢愛地雅(8933-TWO)存貨金額和存銷比都維持在高檔、下降緩慢，代表需求一直不好，還在消化存貨。(圖片來源：優分析產業數據庫) 存銷比公式：存貨 / 營收。公司常常無法準確預測未來訂單量，尤其是在景氣循環大的時候，這就容易引發庫存堆積。像是新冠疫情，特別是大流行期間，供應鏈出現了前所未有的中斷和延誤。這導致許多企業出於擔憂，選擇增加庫存，以應對可能的供應短缺。這種庫存循環不僅影響企業的經營狀況，也直接反映在股價上，下圖是華碩(2357-TW) 當時的庫存狀況。所以，投資人進行分析時，要關注庫存循環的變化，好掌握未來市場的走向。(圖片來源：優分析產業數據庫)存貨數據給我們提供了一個領先市場的機會。要怎麼做到領先市場，先決條件就是『買得足夠便宜』，只有當估值被低估到足夠大的程度，才值得進場等待復甦的到來。因為復甦通常需要時間，而市場本身往往已經提前反應，因此越便宜的價格，越能為你創造未來的報酬空間。所以，提早佈局不僅需要預測市場的景氣循環，更需要確認你所買的價格足夠低。這樣，你才能保證自己處於「大贏或小贏」的優勢，而非「贏或輸」的風險中。市場經常比我們想像的還要快一步，很多投資者在你想到之前就已經行動。因此，如果你沒有確定估值是否足夠低，就可能在不夠便宜的價位進場，進而降低你的報酬率。,"['data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7', 'data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7', 'data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7', 'data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7']"
