,繁中
0,資產配置比例
1,ISS (Institutional Shareholder Services)
2,雲端運算
3,大型雲端平台
4,企業DNA
5,IC設計業者
6,市場波動
7,伺服器代工廠
8,年度分紅獎金
9,股東
10,液冷散熱
11,亞太電信
12,經濟不確定性
13,頻譜
14,市場變化
15,氣冷散熱
16,股市
17,金融圈
18,雲端計算部門
19,GPU
20,算力
21,ETF
22,員工帳戶
23,大型雲端模型
24,主權基金
25,韌性
26,共同基金
27,成長機會
28,全球經濟情勢
29,轉型升級
30,x86架構
31,千禧世代
32,GL (Glass Lewis)
33,ESG
34,新新併
35,ICT
36,企業社會責任
37,自動化儲蓄
38,員工福利
39,Computex
40,最高法院
41,財務績效
42,Gemini 1.5 Pro
43,EPS季增率
44,數位理財科技
45,S&P指數
46,個人退休帳戶
47,大型語言模型
48,Arm架構
49,網路世代
50,數位理財
51,ChatGPT-4o mini
52,民眾
53,鴻海
54,遠傳
55,AI工具
56,GPT-4.5 Turbo
57,晶圓代工廠
58,誠信
59,奈米投
60,競爭力
61,高階AI伺服器
62,資產管理
63,勞資協商
64,AI基礎設施
65,晶片巨頭
66,經營規模
67,遵循法令
68,FIRE族
69,綜效
70,獲利雙位數成長
71,投資策略
72,數位理財服務
73,資本支出
74,分紅獎金
75,Llama3
76,資本利得
77,金額配置
78,績效
79,資本市場
80,股東權益
81,股權
82,Z世代
83,ChatGPT
84,經營團隊
85,法令
86,複利
87,多模態模型
88,EV
89,合併
90,AI科技股
91,股東會
92,AI加速晶片
93,遵法
94,Y世代
95,AI
96,避險情緒
97,金融業
98,瑞典AP2
99,信管費
100,數位原住民
101,晶片
102,資產配置
103,加州教師退休系統 (CalSTRS)
104,4％法則
