,繁中
0,ChatGPT-4o mini
1,遠傳和亞太電信
2,Computex
3,大型語言模型
4,共同基金
5,遠傳
6,氣冷散熱
7,晶片
8,自動緊急煞車系統
9,GPU龍頭
10,蘋果
11,ETF
12,GPU
13,AI加速晶片
14,數位原住民
15,超額頻譜
16,鴻海
17,ESG
18,自動駕駛系統
19,數位理財服務
20,影像處理晶片
21,成本結構優化
22,運算型伺服器
23,數據科學家
24,台灣ETF
25,大型雲端業者
26,伺服器組裝廠
27,自動「再平衡」交易
28,合併
29,算力
30,3D人臉辨識
31,奈米投
32,大盤指數
33,多模態模型
34,AI伺服器
35,多GPU
36,盲點偵測系統
37,晶片巨頭
38,48V電池
39,大型雲端平台
40,AI應用
41,最高法院
42,複利
43,遞件送審
44,x86架構
45,股東臨時會
46,高階AI伺服器
47,Arm架構
48,個人退休帳戶
49,Llama3
50,臨股會
51,4％法則
52,雲端平台
53,微軟
54,網路世代
55,化合物半導體
56,亞太電信
57,奈米投 綁定台北富邦銀行LINE官方帳號
58,頻譜
59,AI科技股
60,ICT
61,12V電池
62,雲端業者
63,數位產品
64,EV
65,半導體
66,IC設計業者
67,EPS
68,AI運算
69,數位理財科技
70,伺服器代工廠
71,雲端計算
72,Gemini 1.5 Pro
73,雲巨頭
74,純電動車
75,遠亞併
76,矽基氮化鎵
77,AI工具
78,AI運算需求
79,先進製程
80,雲端運算
81,液冷散熱技術
82,晶圓代工廠
83,電流均一性
84,全球ETF
85,自動化儲蓄
86,AI
87,AI基礎設施
88,IBM
89,GPT-4.5 Turbo
90,奇異
91,ChatGPT
92,汽車市場規模
