,數量
新光金,1
GL,1
Glass Lewis,1
CalSTRS,1
AP2,1
ISS,1
Institutional Shareholder Services,1
林伯翰,1
台新金,1
魏寶生,1
ChatGPT,1
Gemini 1.5 Pro,1
GPT-4.5 Turbo,1
ChatGPT-4o mini,1
Llama3,1
GPU,1
AI,3
EPS,1
Computex,1
ETtoday新聞雲,1
台北富邦銀行,2
LINE,2
遠傳,1
亞太電信,1
遠亞併,1
最高法院,1
羅明才,1
陳國樑,1
華南投顧,1
儲祥生,1
鴻海,1
ESG,1
EV,1
山陀兒,1
台灣,2
中央氣象署,1
花東,1
高屏,1
南投,1
ETtoday,1
金管會,1
台股,1
券商,2
壽險業,1
美國,1
AI科技股,1
銀行,2
金融三業,1
S&P指數,1
美股,1
中華民國金融業,1
拿鐵因子,1
月光族,1
FIRE族,1
Nick Maggiulli,1
持續買進：資料科學家的投資終極解答，存錢及致富的實證方法,1
4％法則,1
蘋果,1
微軟,1
奇異,1
IBM,1
ETF,1
奈米投,1
LINE官方帳號,1
嬰兒潮世代,1
X世代,1
Y世代,1
Z世代,1
α世代,1
千禧世代,1
Marcus Arcabascio,1
RBCU,1
台北富邦銀行奈米投,1
全球ETF,1
,數量
新光金,1
國際投票顧問機構GL,1
Glass Lewis,1
美國加州教師退休系統,1
CalSTRS,1
瑞典AP2,1
ISS,1
Institutional Shareholder Services,1
新光集團,1
林家,1
林伯翰,1
台新金,1
ChatGPT,1
Gemini 1.5 Pro,1
GPT-4.5 Turbo,1
ChatGPT-4o mini,1
Llama3,1
Computex,1
Arm,1
台北富邦銀行,9
LINE,1
遠傳,1
亞太電信,1
最高法院,1
羅明才,1
儲祥生,1
華南投顧,1
鴻海,1
ESG,1
ICT,1
EV,1
台灣,2
中央氣象署,1
花東,1
高屏,1
南投,1
ETtoday新聞雲,1
金管會,1
台股,7
美國,2
美國總統大選,1
AI科技股,1
金控,1
壽險業,4
S&P指數,1
美股,1
經濟日報,1
拿鐵因子,1
月光族,1
FIRE族,1
尼克．馬朱利,1
蘋果,1
微軟,1
奇異,1
IBM,1
ETF,2
奈米投,4
歐美,1
LINE官方帳號,1
台北富邦銀行企劃,2
嬰兒潮世代,1
X世代,1
Y世代,2
Z世代,3
α世代,1
RBCU,1
Marcus Arcabascio,1
共同基金,1
北富銀奈米投,2
