,名詞,數量
0,西歐,1
1, 歐盟,4
2, 中東歐,1
3, 新冠疫情,1
4, 俄烏戰爭,1
5, 德國,1
6, 法國,1
7, 義大利,1
8, 西班牙,1
9, 波蘭,1
10, 希臘,1
11, 匈牙利,1
12, Unsplash,6
13, Ultrabook,1
14, 蘋果,11
15, NPU,2
16, 高通,5
17, Qualcomm,4
18, Windows-On-Arm,2
19, Snapdragon X Elite,2
20, 微軟,10
21, Copilot+ PC,1
22, 英特爾,4
23, Lunar Lake,1
24, Pat Gelsinger,4
25, COMPUTEX,1
26, Michelle Johnston Holthaus,1
27, Meteor Lake,2
28, AMD,8
29, Nvidia,11
30, Lenovo,1
31, ThinkPad X1 Cardon Gen 12,1
32, Windows,3
33, Teams,1
34, Alder Lake,1
35, Raptor Lake,3
36, MacBook,1
37, 台積電,25
38, Pentium M,1
39, Compute Tile,1
40, Platform Controller Tile,1
41, Intel 18A,3
42, N3B,1
43, N6,1
44, N3E,1
45, Panther Lake,2
46, Clearwater Forest,2
47, Arrow Lake,2
48, 小鵬汽車,2
49, 福斯汽車集團,2
50, Volkswagen,2
51, CMP,2
52, MEB,2
53, CEA,2
54, 福斯中國,2
55, PPE,3
56, SSP,2
57, ID.4,2
58, 保時捷,4
59, 零跑,2
60, 特斯拉,3
61, L3,2
62, YouTube,6
63, Apple,7
64, Anthropic,4
65, AI,13
66, AI公司,4
67, CRISPR,2
68, LTR10,2
69, XRCC4,2
70, ATG12,2
71, 科羅拉多大學,2
72, University of Colorado Boulder,2
73, Edward Chuong,2
74, Science Advances,2
75, Atma Ivancevic,2
76, Pixababy,2
77, 民用航空局,2
78, 經濟部,2
79, 財政部,2
80, 國家通訊傳播委員會,2
81, 數位發展部,2
82, 林俊良,2
83, 中央廣播電台,2
84, AI模型,1
85, Fair Use Four-Factor Test,1
86, x86,1
87, x86-S,1
88, APX,1
89,Netflix,1
90, Apple TV+,1
91, Statista,1
92, 好萊塢,1
93, 迪士尼,1
94, AMPEE,1
95, 派拉蒙,1
96, 華納兄弟探索,1
97, Disney+,1
98, 馬丁‧史科西斯,1
99, 雷利‧史考特,1
100, 尼爾森,1
101, HBO,1
102, App Store,2
103, Apple Music,1
104, Apple Arcade,1
105, 瑞絲‧維絲朋,1
106, 珍妮佛‧安妮絲頓,1
107, 大衛芬奇,1
108, 星際大戰,1
109, 星際大戰：侍者,1
110, 星際大戰：安道爾,1
111, 泰德·拉索：錯棚教練趣事多,1
112, 人生切割術,1
113, 輝達,11
114, Nvidia Corp.,2
115, 聯準會,3
116, Fed,4
117, 鮑爾,4
118, Jerome Powell,3
119, 道瓊工業平均指數,1
120, 那斯達克指數,1
121, 標準普爾500指數,2
122, 費城半導體指數,1
123, 聯邦公開市場委員會,1
124, FOMC,3
125, Siebert,2
126, Mark Malek,2
127, ADP Research Institute,1
128, 穆迪分析公司,1
129, Microsoft,4
130, 納德拉,1
131, Satya Nadella,3
132, Amy Hood,2
133, 摩根士丹利,3
134, Morgan Stanley,3
135, 大摩,1
136, 超微,5
137, 蘇姿丰,1
138, Lisa Su,1
139, Qualcomm Inc.,2
140, 美光,4
141, Micron Technology,2
142, Inc.,2
