,名詞,數量
0,西歐,1
1, 歐盟,3
2, 中東歐,1
3, 新冠疫情,1
4, 俄烏戰爭,1
5, 德國,1
6, 法國,1
7, 義大利,3
8, 波蘭,1
9, 希臘,1
10, 匈牙利,1
11," Unsplash

蘋果",1
12, Ultrabook,1
13, NPU,2
14, 高通,6
15, Qualcomm,4
16, Windows-On-Arm,1
17, Snapdragon X Elite,2
18, 微軟,10
19, Copilot+ PC,1
20, 英特爾,3
21, Lunar Lake,1
22, Pat Gelsinger,3
23, COMPUTEX,1
24, Michelle Johnston Holthaus,1
25, Meteor Lake,2
26, Lenovo,1
27, ThinkPad,1
28, Alder Lake,1
29, Raptor Lake,1
30, MacBook,1
31, 台積電,23
32, Intel 18A,2
33, Intel 20A,1
34, Panther Lake,1
35, Clearwater Forest,1
36," Arrow Lake

小鵬汽車",1
37, 福斯汽車集團,1
38, Volkswagen,2
39, CMP,1
40, MEB,1
41, CEA,1
42, ID.4,1
43, 保時捷,3
44, SSP,1
45, PPE,2
46, 零跑,1
47, 特斯拉,3
48, L3,1
49," 豐田

科羅拉多大學",1
50, University of Colorado Boulder,1
51, Edward Chuong,1
52, Science Advances,1
53, LTR10,1
54, XRCC4,1
55, ATG12,1
56, CRISPR,1
57, Atma Ivancevic,1
58," Pixabay

交通部",1
59, 民用航空局,1
60, 經濟部,1
61, 財政部,1
62, 國家通訊傳播委員會,1
63, 數位發展部,1
64, NCC,1
65, 林俊良,1
66," 中央廣播電台

YouTube",1
67, Apple,5
68, Nvidia,10
69, Anthropic,2
70, AI公司,2
71, Fair Use Four-Factor Test,1
72, AI模型,2
73, AI技術,1
74, AI工具,1
75, AI創作工具,1
76,Netflix,1
77, Apple TV+,1
78, 蘋果,10
79, Disney+,1
80, 好萊塢,1
81, AMPEE,1
82, 派拉蒙,1
83, 華納兄弟探索,1
84, HBO,1
85, Microsoft,3
86, 輝達,12
87, 超微,6
88, AMD,8
89, Micron,2
90, 美光,4
91, Broadcom,1
92, 博通,2
93, ASML,4
94, 艾司摩爾,1
95, Azure,3
96, 雲端運算,3
97, 雲計算,2
98, Meta,7
99, Facebook,3
100, Instagram,3
101, Avocor,1
102, BHTC,1
103, 群創,3
104, 和碩,2
105, 台灣,4
106, iPhone,4
107, iPad,1
108, Apple Pencil,1
109, AirPods,1
110, Vision Pro,2
111, Arm,1
112, LSEG,8
113, FactSet,2
114, HSBC.,1
115,日月光,1
116, 熊本工廠,1
117, 製程,3
118, MoneyDJ新聞,23
119, Audi,1
120, 福斯集團,2
121, 奧迪,2
122, e-tron,1
123, Sportback,1
124, Avant,1
125, Taycan Turbo,1
126, Matrix,2
127, LED,1
128, Car-to-X,1
129, WLTP,1
130, S6 e-tron,1
131, Fed,5
132, 鮑爾,1
133, CNBC,10
134, 路透社,2
135, FOMC,3
136, Siebert,1
137, Mark Malek,1
138, Jackson Hole Economic Policy Symposium,1
139, Meta Platforms,1
140, 摩根士丹利,2
141, Satya Nadella,2
142, Amy Hood,1
143, GPU,2
144, Hopper,1
145, H100,1
146, Blackwell,2
147, ADR,1
148, Benzinga,2
149, InvestorPlace,1
150, Nancy Pelosi,1
151, Quiver Quantitative,1
152, Tesla,2
153, Unusual Whales,1
154, IDC,2
155, iPad Pro,1
156, AI晶片,1
157, iPad Air,1
158, Unsplash,5
159, 比亞迪,3
160, 渥太華,1
161, 賀錦麗,3
162, 川普,4
163, 施羅德集團,1
164, 喬治·布朗,1
165, Joe Manchin,1
166, Chevron 原則,1
167, TCJA,1
168,羅技,1
169, Logitech,1
170, The Verge,1
171, Decoder,1
172, ChatGPT,3
173, HP,1
174, iFixit,1
175, B2B,1
176, B2C,1
177, SOHO,1
178, Albemarle Corp.,1
179, 路透,2
180, Kemerton,1
181, Kent Masters,1
182, Berenberg,1
183, 高盛,1
